Term,rép,Provenance,Date
chacun lui répondit selon qu ’ il,0,test.md,2019-06-20
carabine sur l ’ épaule,0,test.md,2019-06-20
ronflants,1,test.md,2019-06-20
sept,5,test.md,2019-06-20
que je voie si j ’,0,test.md,2019-06-20
petit,20,test.md,2019-06-20
d ’ avoir des,0,test.md,2019-06-20
Honneur,3,test.md,2019-06-20
ouverts,1,test.md,2019-06-20
servante,1,test.md,2019-06-20
L ’ Ogresse reconnut la,0,test.md,2019-06-20
Le Prince,4,test.md,2019-06-20
après avoir baisé leur chère,1,test.md,2019-06-20
les Fées,5,test.md,2019-06-20
Dès qu ’ elle,0,test.md,2019-06-20
’ en voyant passer,0,test.md,2019-06-20
don,24,test.md,2019-06-20
que,82,test.md,2019-06-20
côté-là,1,test.md,2019-06-20
monde,5,test.md,2019-06-20
avait pas,2,test.md,2019-06-20
Huit,1,test.md,2019-06-20
les unes dans les autres,1,test.md,2019-06-20
car il crût dans,1,test.md,2019-06-20
ce qui arriva au,1,test.md,2019-06-20
manger,8,test.md,2019-06-20
entre dans,2,test.md,2019-06-20
voyait au-dessus d ’,0,test.md,2019-06-20
donné,3,test.md,2019-06-20
Un soir qu ’,0,test.md,2019-06-20
songer à ce qu ’,0,test.md,2019-06-20
son fils,1,test.md,2019-06-20
arriva que la jeune Princesse courant,1,test.md,2019-06-20
accident arriva à la Princesse,1,test.md,2019-06-20
enchantée,1,test.md,2019-06-20
prit son,1,test.md,2019-06-20
ce qu ’ elle ferait,0,test.md,2019-06-20
campagne dans,1,test.md,2019-06-20
place à table,1,test.md,2019-06-20
pas encore dit la,1,test.md,2019-06-20
à ce discours,1,test.md,2019-06-20
vrai que je,1,test.md,2019-06-20
mais rien,3,test.md,2019-06-20
Ogre y demeurait,1,test.md,2019-06-20
Reine sa mère,2,test.md,2019-06-20
vieille Fée qu ’,0,test.md,2019-06-20
petit galetas,1,test.md,2019-06-20
c ’ était la coutume des Fées,0,test.md,2019-06-20
mit à genoux auprès d ’ elle,0,test.md,2019-06-20
ces épines,1,test.md,2019-06-20
à lui dire,1,test.md,2019-06-20
pas,30,test.md,2019-06-20
collet monté,1,test.md,2019-06-20
était auprès d ’,0,test.md,2019-06-20
Salon,1,test.md,2019-06-20
qu ’ elle dormirait,0,test.md,2019-06-20
le Prince ne voulut jamais rien dire,1,test.md,2019-06-20
Mais comme chacun prenait,1,test.md,2019-06-20
Quelque temps,1,test.md,2019-06-20
les Fées commencèrent à faire leurs dons,1,test.md,2019-06-20
donner,3,test.md,2019-06-20
don à la,1,test.md,2019-06-20
à cause qu ’ il avait été méchant,0,test.md,2019-06-20
personnes,1,test.md,2019-06-20
l ’ avait épousée qu ’ à cause,0,test.md,2019-06-20
serpents,1,test.md,2019-06-20
des Gardes,1,test.md,2019-06-20
défaire entièrement ce que mon,1,test.md,2019-06-20
s ’ endormirent,0,test.md,2019-06-20
la laissât dormir,1,test.md,2019-06-20
pressée comme,1,test.md,2019-06-20
couleuvres,1,test.md,2019-06-20
les,63,test.md,2019-06-20
belle du monde,1,test.md,2019-06-20
faisait des,1,test.md,2019-06-20
fourchette,1,test.md,2019-06-20
apportât au,1,test.md,2019-06-20
là il,1,test.md,2019-06-20
résolut,2,test.md,2019-06-20
soeur,1,test.md,2019-06-20
Ils allèrent à,1,test.md,2019-06-20
Roi viendra la réveiller,1,test.md,2019-06-20
non,2,test.md,2019-06-20
’ impatienta,0,test.md,2019-06-20
Dame,3,test.md,2019-06-20
le premier qui fut,1,test.md,2019-06-20
Esprits,1,test.md,2019-06-20
aurait besoin,1,test.md,2019-06-20
pouvait attraper,1,test.md,2019-06-20
quand,5,test.md,2019-06-20
